Chr,start,end,LITCHI007109_threshold,LITCHI007109_Mean,TB0135
Chr13,2296700,2296800,2.1949685534591197,349.0,159.0
Chr11,14386000,14386100,2.31,346.5,150.0
Chr10,26388200,26388300,2.1792452830188678,346.5,159.0
Chr10,27041100,27041200,3.1454545454545455,346.0,110.0
Chr15,23479200,23479300,8.721518987341772,344.5,39.5
Chr9,76500,76600,12.74074074074074,344.0,27.0
Chr12,22589200,22589300,6.9393939393939394,343.5,49.5
Chr7,12536900,12537000,17.58974358974359,343.0,19.5
Chr3,31649100,31649200,2.729083665338645,342.5,125.5
Chr5,27854300,27854400,5.60655737704918,342.0,61.0
Chr3,22693300,22693400,4.526666666666666,339.5,75.0
Chr13,6672000,6672100,337.5,337.5,1.0
Chr9,5900,6000,4.9338235294117645,335.5,68.0
Chr1,24352900,24353000,11.066666666666666,332.0,30.0
Chr7,12396300,12396400,4.534246575342466,331.0,73.0
Chr9,28700,28800,2.174342105263158,330.5,152.0
Chr2,34134300,34134400,7.344444444444444,330.5,45.0
Chr9,55700,55800,164.5,329.0,2.0
Chr8,19641300,19641400,3.032258064516129,329.0,108.5
Chr10,27055900,27056000,2.339350180505415,324.0,138.5
Chr10,27382800,27382900,3.530054644808743,323.0,91.5
Chr10,27313400,27313500,2.3236363636363637,319.5,137.5
Chr3,36681400,36681500,4.24,318.0,75.0
Chr2,7467600,7467700,6.0673076923076925,315.5,52.0
Chr7,12361100,12361200,5.625,315.0,56.0
Chr3,27734700,27734800,315.0,315.0,1.0
Chr7,12374100,12374200,2.052287581699346,314.0,153.0
Chr10,27299800,27299900,4.684210526315789,311.5,66.5
Chr4,10664300,10664400,2.5491803278688523,311.0,122.0
Chr3,31661500,31661600,12.63265306122449,309.5,24.5
Chr9,41900,42000,26.652173913043477,306.5,11.5
Chr3,31687700,31687800,6.255102040816326,306.5,49.0
Chr3,72700,72800,2.057627118644068,303.5,147.5
Chr2,32423400,32423500,2.6130434782608694,300.5,115.0
Chr11,14342200,14342300,2.0236486486486487,299.5,148.0
Chr4,10678500,10678600,3.7672955974842766,299.5,79.5
Chr10,26410800,26410900,2.5789473684210527,294.0,114.0
Chr11,14401400,14401500,2.0742049469964665,293.5,141.5
Chr14,24058900,24059000,2.900497512437811,291.5,100.5
Chr13,2283300,2283400,4.841666666666667,290.5,60.0
Chr10,27416500,27416600,3.772727272727273,290.5,77.0
Chr7,12568600,12568700,22.307692307692307,290.0,13.0
Chr2,38522100,38522200,19.333333333333332,290.0,15.0
Chr3,36634100,36634200,5.96875,286.5,48.0
Chr11,14369500,14369600,2.01779359430605,283.5,140.5
Chr10,27138900,27139000,4.528,283.0,62.5
Chr3,29021900,29022000,14.81578947368421,281.5,19.0
Chr3,31675600,31675700,4.929203539823009,278.5,56.5
Chr2,19946600,19946700,3.3012048192771086,274.0,83.0
Chr13,2308800,2308900,2.2244897959183674,272.5,122.5
Chr9,8844300,8844400,31.941176470588236,271.5,8.5
Chr12,5792300,5792400,2.033707865168539,271.5,133.5
Chr2,23392800,23392900,4.301587301587301,271.0,63.0
Chr7,19207100,19207200,35.733333333333334,268.0,7.5
Chr4,10642300,10642400,2.4174311926605503,263.5,109.0
Chr15,22420400,22420500,4.252032520325203,261.5,61.5
Chr4,29832700,29832800,4.252032520325203,261.5,61.5
Chr10,27017100,27017200,2.5346534653465347,256.0,101.0
Chr2,15716700,15716800,72.85714285714286,255.0,3.5
Chr2,11573200,11573300,6.121951219512195,251.0,41.0
Chr15,2584100,2584200,4.201680672268908,250.0,59.5
Chr7,12552800,12552900,15.5,248.0,16.0
